From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
285;2447;sea;1323;3374;1423;3381;1423;Kaffa-Mapa
2022;976;sea;1559;-1;-1;-1;-1;Haida-Tlingit
2587;2521;sea;1661;1530;1620;1515;1618;Odawa-Okouara
2587;1001;sea;1661;1511;1656;1510;1660;Odawa-Soto
2576;2578;sea;1490;-1;-1;-1;-1;Mingan-Anticosti
249;4121;sea;1284;-1;-1;-1;-1;Ayrshire-Ulster
536;2100;sea;1340;4044;796;4050;793;Madurai-Vanni
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
500;499;sea;1522;-1;-1;-1;-1;St Vincent-St Lucia
499;498;sea;1523;-1;-1;-1;-1;St Lucia-Martinique
498;497;sea;1523;-1;-1;-1;-1;Martinique-Dominica
496;495;sea;1523;-1;-1;-1;-1;Guadalupe-Antigua
495;494;sea;1523;-1;-1;-1;-1;Antigua-St Kits
628;2692;sea;1355;-1;-1;-1;-1;Surabaya-Madura
631;2693;sea;1355;-1;-1;-1;-1;Bali-Lombok
2693;632;sea;1355;-1;-1;-1;-1;Lombok-Sumbawa
632;633;sea;1355;4666;511;4675;512;Sumbawa-Flores
633;2695;sea;1401;4749;514;4758;512;Flores-East Timor
2716;4796;sea;1357;4714;569;4712;575;Buton-Kendari
2700;4351;sea;1397;-1;-1;-1;-1;Cebu-Panay
4353;4355;sea;1402;4765;804;4761;811;Leyte-Caraga
2700;4350;sea;1397;4708;838;4702;846;Panay-Mindoro
4356;4350;sea;1395;4672;820;-1;-1;Taytay-Mindoro
646;647;sea;1401;-1;-1;-1;-1;Ambom-Ceram
2678;622;sea;1361;4446;618;4443;617;Banka-Palembang
2686;4815;sea;1361;4434;664;4430;666;Bintan-Johor
2929;2890;sea;1529;2021;838;2022;841;Para-Marajo
748;2890;sea;1529;2050;847;2046;850;Belem-Marajo
911;2587;sea;1661;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;2973;1210;2972;1208;Djerba-Tataouine
431;2999;sea;1334;3693;1091;3689;1089;Mogostan-Hormuz
398;2999;sea;1334;3686;1080;3684;1084;Qawasim-Hormuz
146;3003;sea;1319;3174;1294;3175;1294;Athens - Euboea
3003;164;sea;1319;3190;1287;3191;1286;Euboea - Cyclades
31;4152;lake;4139;3232;1827;3235;1835;Savolax - Kuusamo
1751;226;sea;1293;-1;-1;-1;-1;Ceuta-Gibraltar
4353;4352;sea;1397;-1;-1;-1;-1;Leyte-Cebu
4351;4352;sea;1397;-1;-1;-1;-1;Buglas-Cebu
4699;4698;sea;1312;-1;-1;-1;-1;Arta-Cephalonia
4745;47;sea;1257;3013;1607;3012;1606;Rügen-Stralsund
2994;48;sea;1257;-1;-1;-1;-1;Wolgast-Kolberg
2728;4846;sea;1408;-1;-1;-1;-1;Tiwi-Woolna
1240;4934;sea;1697;-1;-1;-1;-1;Hawaii-Maui
4934;4935;sea;1697;-1;-1;-1;-1;Maui-Oahu
4935;4936;sea;1697;-1;-1;-1;-1;Oahu-Kauai
4938;4937;sea;1431;-1;-1;-1;-1;Vanua Levu-Lau
4937;1242;sea;1431;-1;-1;-1;-1;Lau-Viti Levu
1242;4938;sea;1431;-1;-1;-1;-1;Vitu Levu-Vanua Levu
1087;4869;sea;1414;-1;-1;-1;-1;Wurundjeri-Peerapper
631;627;sea;1354;-1;-1;-1;-1;Bali-Blambangan
87;235;sea;1271;-1;-1;-1;-1;Calais-Kent VVTQOL
4165;1981;sea;1257;-1;-1;-1;-1;Gonge-Bornholm
3;25;sea;1255;3066;1691;3086;1679;Kalmar-Gotland
369;1978;sea;1299;-1;-1;-1;-1;Orkney-Shetland
1978;1979;sea;1299;-1;-1;2700;1783;Shetland-Fareoerne
249;4365;sea;1284;-1;-1;-1;-1;Ayrshire-Mann
1750;4560;sea;1295;-1;-1;-1;-1;Alicante-Ibiza
115;1247;sea;1298;-1;-1;-1;-1;Pisa-Corsica
2982;126;sea;1305;-1;-1;-1;-1;Syracuse-Malta
319;320;sea;1319;3244;1261;3244;1257;Mentesha-Rodos
2296;4700;sea;1319;-1;-1;-1;-1;Biga-Lesbo
145;163;sea;1319;-1;-1;-1;-1;Anabolu-Crete
2302;321;sea;1317;-1;-1;-1;-1;Icel-Cyprus
402;1099;sea;4346;-1;-1;3639;851;Qishn-Suqutra
2788;1099;sea;1446;-1;-1;3639;851;Hafun-Suqutra
4049;4020;sea;1449;-1;-1;-1;-1;Ibo-Comoros
4020;4021;sea;1449;-1;-1;-1;-1;Comoros-Antakanara
1248;4410;sea;1340;-1;-1;-1;-1;Maldives-Kumari
2678;2679;sea;1360;-1;-1;-1;-1;Bangka-Belitung
2679;4802;sea;1360;-1;-1;-1;-1;Belitung-Pontinak
623;624;sea;1352;-1;-1;-1;-1;Tulangbewang-Banten
637;655;sea;1368;-1;-1;-1;-1;Api-Api-Palawan
2703;4354;sea;1398;-1;-1;-1;-1;Lehad Datu-Zamboanga
2703;651;sea;1398;-1;-1;-1;-1;Lehad Datu-Sulu
4350;656;sea;1395;4693;866;4692;871;Mindoro-Manila
4354;651;sea;1398;-1;-1;-1;-1;Zamboanga-Sulu
4799;2714;sea;1359;-1;-1;-1;-1;Sangkulirang-Palu
633;641;sea;1357;-1;-1;4674;561;Makassar-Flores
2695;2696;sea;1401;4789;514;4854;523;East Timor-Yamdena
2696;2725;sea;1409;-1;-1;4899;544;Yamdena-Aru
643;2717;sea;1399;-1;-1;-1;-1;Poso-Sula
645;650;sea;1400;-1;-1;-1;-1;Buru-Tidore
2717;645;sea;1399;-1;-1;-1;-1;Buru-Sula
645;647;sea;1400;-1;-1;-1;-1;Buru-Ceram
647;2718;sea;1409;-1;-1;-1;-1;Ceram-Fak Fak
2722;2730;sea;1410;-1;-1;5014;478;Daru-Awngthim
2720;1236;sea;1405;-1;-1;-1;-1;Lae-Rabul
1236;1238;sea;1405;-1;-1;-1;-1;Rabul-Solomon Islands
1031;1033;sea;4225;-1;-1;-1;-1;Peni'un'kur-Enchiw
1032;1034;sea;1441;-1;-1;-1;-1;Chishima Retto-Kamchatka
4228;2741;sea;1389;-1;-1;-1;-1;Naju-Jeju
2745;4651;sea;1376;-1;-1;-1;-1;Gyeongju-Tsushima
4651;1818;sea;1376;-1;-1;-1;-1;Tsushima-Chikuzen
669;2154;sea;1372;-1;-1;-1;-1;Fuzhou-Tamsui
2808;491;sea;1519;-1;-1;-1;-1;Coro-Aruba
500;502;sea;1522;-1;-1;-1;-1;St.Vincent-Trinidad
500;501;sea;1522;-1;-1;-1;-1;St.Vincent-Barbados
496;497;sea;1523;-1;-1;-1;-1;Guadelupe-Dominica
494;1881;sea;1523;-1;-1;-1;-1;St.Kitts-St.Martin
493;1881;sea;1526;1798;1156;-1;-1;St.Thomas-St.Martin
492;493;sea;1526;-1;-1;-1;-1;St.Thomas-Boriken
4621;492;sea;1526;-1;-1;-1;-1;Higuey-St.Thomas
489;2654;sea;1516;-1;-1;-1;-1;Tortuga-Baracoa
487;488;sea;1516;-1;-1;-1;-1;Jamaica-Zui
483;489;sea;1524;-1;-1;-1;-1;Tortuga-Turks Islands
482;483;sea;1503;-1;-1;-1;-1;Turks Islands-Bahamas
4622;2536;sea;1503;-1;-1;-1;-1;Mayaimi-Canimar
2684;619;sea;1350;-1;-1;-1;-1;Nias-Batak
2683;4817;sea;1351;-1;-1;-1;-1;Mentawai-Padang
634;632;sea;1355;-1;-1;-1;-1;Sumba-Sumbawa
2652;4624;sea;1512;-1;-1;-1;-1;Ecab-Guane
1978;23;sea;1281;2788;1744;2884;1757;Hjatland-Bergenhus
371;1979;sea;1476;-1;-1;-1;-1;Akureyri-Faeroyene
1306;1097;sea;1465;-1;-1;-1;-1;Sao Tome-Fernando Po
1163;1097;sea;1465;-1;-1;-1;-1;Calabar-Fernando Po
4025;1103;sea;1454;-1;-1;-1;-1;Vatomandry-Ile Bourbon
1103;1102;sea;1455;-1;-1;-1;-1;Ile Bourbon-Mauritius
1100;4021;sea;1450;-1;-1;-1;-1;Antankara-Mahe
1238;1239;sea;1432;-1;-1;-1;-1;Solomon Islands-Vanuatu
1239;1986;sea;1429;-1;-1;-1;-1;Vanuatu-New Caledonia
1239;1242;sea;1431;-1;-1;-1;-1;Vanuatu-Viti Levu
1987;1244;sea;1725;-1;-1;-1;-1;Society Islands-Tuamotu Islands
1238;1992;sea;1432;-1;-1;-1;-1;Solomon Islands-Nauru
1012;1015;sea;1392;-1;-1;-1;-1;Satsuma-Ryukyu
1236;1995;sea;1673;-1;-1;-1;-1;Rabaul-Micronesia
1995;1235;sea;1673;-1;-1;-1;-1;Micronesia-Guam
1995;1993;sea;1698;-1;-1;-1;-1;Micronesia-Marshall Islands
1994;1993;sea;1691;-1;-1;-1;-1;Wake-Marshall Islands
1692;4936;sea;1697;-1;-1;-1;-1;Midway-Kauai
1107;4851;sea;1411;-1;-1;-1;-1;Taranaki-Badtjala
1991;1992;sea;1433;-1;-1;-1;-1;Gilbert Islands-Nauru
1991;1993;sea;1698;-1;-1;-1;-1;Gilbert Islands-Marshall Islands
1995;1996;sea;1403;-1;-1;-1;-1;Miconesia-Palau
1990;1991;sea;1433;-1;-1;-1;-1;Tuvalu-Gilbert Islands
1243;1987;sea;1728;-1;-1;-1;-1;Samoa-Society Islands
1244;1988;sea;1713;-1;-1;-1;-1;Tuamotu Islands-Rapanui
1988;787;sea;1542;-1;-1;-1;-1;Rapanui-Picunmapu
1095;2868;sea;1537;-1;-1;-1;-1;Falklands-San Antonio
1095;2025;sea;1607;-1;-1;-1;-1;Falklands-South Georgia
2002;819;sea;1546;-1;-1;-1;-1;Galapagos-Guayaquil
-1;-1;;-1;-1;-1;-1;-1;-1
